Název;E-mail;Telefon;Kategorie
"TATRY RESORT DK s.r.o.";zdiar@penzion-diana.sk;"0905 352 480";Ubytovanie
"Lehotský comp., s.r.o.";lezitranz@lezitranz.sk;"044 5221 866044 5224 500 | 044 5221 866";Ubytovanie
"Bekeš Štefan";bekes@penzionkamzik.sk;"0907 197 249";Ubytovanie
"Čupka Ľubomír, MVDr.";penzionucupku@penzionucupku.sk;"0911 173 000";Ubytovanie
"Vasko - Daniel Bekeš";info@pensionvasko.sk;"052 4498 1330905 238 841 | 052 4498 133";Ubytovanie
"ADS Tále, s.r.o.";penzioneka@szm.sk;"0907 828 8630905 340 222 | 0907 828 863";Ubytovanie
"Penzión Sidorovo, s.r.o.";info@penzionsidorovo.sk;"0908 519 887";Ubytovanie
"ALBATROS TOUR Rožňava, s.r.o.";penziontkm@penziontkm.sk;"0905 439 667";Ubytovanie
"PROAD PLUS s.r.o.";info@penzionmara.sk;"0950 598 088";Ubytovanie
"Pavlík Jozef";jople@szm.sk;"0905 823 505";Ubytovanie
"ORAVA INVEST, s.r.o.";info@oravskyzrub.sk;"0905 116 666";Ubytovanie
"GULDINER Star s.r.o.";info@guldiner.sk;"0917 188 453";Ubytovanie
"PENZIÓN STÁREK, s.r.o.";info@penzionstarek.sk;"041 5695 359";Ubytovanie
"Suchánek Dalibor";penziontopky@gmail.com;"0908 588 996";Ubytovanie
"Chabrečková Monika";fatra@terchovavratna.sk;"0948 484 888";Ubytovanie
"Villa Vinica s.r.o.";info@villavinica.eu;"033 6477 318";Ubytovanie
"Penzión-Restaurant Kaplna - Ing. Blažej Klobušický";penzion@penzion-kaplna.sk;"0905 472 431";Ubytovanie
"TERRA Vysoké Tatry - MVDr. Ján Melter CSc.";melter.tatry@gamil.com;"0907 496 049";Ubytovanie
"Penzión Centrum, s.r.o.";centrumpenzion@gmail.com;"045 6771 211";Ubytovanie
"MAAN - Marián Ondovčík";maan@pensionmaan.sk;"0907 259 779052 4484 680 | 0907 259 779";Ubytovanie
"Penzión Schweintaal, s.r.o.";schweintaal@schweintaal.sk;"048 6198 374";Ubytovanie
"Sem-Tab - Ing. Dalibor Semjan";info@penzionpramen.sk;"056 6887 388";Ubytovanie
"Boreko - Miroslav Bobrovčan";bobrovcan@pavcina-lehota.sk;"0903 022 362044 5548 135 | 0903 022 362 | 044 5548 135";Ubytovanie
"SIMON SERVICES, s.r.o.";;"0905 415 721";Ubytovanie
"ANFEMATA, s.r.o.";office@podoblazom.sk;"0904 632 343";Ubytovanie
"LiptovTravel, s.r.o.";info@sileo.sk;"0907 953 7150905 394 537 | 0907 953 715";Ubytovanie
"J.A.S. - Anna Skočíková";slanica@slanica.sk;"043 5524 880";Ubytovanie
"JMĎ - Gustáv Jánošík";ujanosika@gmail.com;"0907 682 548";Ubytovanie
"Ski3, s.r.o.";info@gazdovskydvor.com;"044 4392 792";Ubytovanie
"Penzión Pagy, s.r.o.";info@penzionpagy.sk;"041 2028 9010948 711 173 | 041 2028 901";Ubytovanie
"Clearskin II., s.r.o.";rapiclear@rapiclear.sk;"041 7645 494 | +421 41 723 57 70";Ubytovanie
"ROGALO, s.r.o.";penzionrogalo@gmail.com;"052 4425 0430903 631 935 | 052 4425 043";Ubytovanie
"Penzión Adria - Beáta Parcová";;"043 5392 428";Ubytovanie
"Glonek, s.r.o.";recepcia@normandia.sk;"046 5455 405";Ubytovanie
"PENZIÓN ELEFANT, s.r.o.";info@penzionelefant.sk;"037 7786 147";Ubytovanie
"Šiffelová Mária";perla@perla-aqua.sk;"0905 213 558";Ubytovanie
"Stefanshof, s.r.o.";penzion@stefanshof.sk;"045 6744 097";Ubytovanie
"Vaľková Valéria";valeria.valkova@slubicanet.sk;"0915 898 838";Ubytovanie
"DOĽANSKÁ KERAMIKA, spol. s r.o.";info@penzionompital.sk;"0902 486 401";Ubytovanie
"JAPEKS, s.r.o.";peter.janesik@japeks.sk;"036 6304 020048 4199 726 | 036 6304 020 | 11-643/006";Ubytovanie
"PDMM Projekt, s.r.o.";info@penziondrak.sk;"044 3810 3010918 378 207 | 044 3810 301";Ubytovanie
"Ottone Plus, s.r.o.";info@penzionflores.sk;"0948 010 1810905 703 708 | 0948 010 181";Ubytovanie
"Aquaground, s.r.o.";penzionlagan@penzionlagan.sk;"0911 477 772";Ubytovanie
"Villa Dr. Szontagh, spol. s r.o.";info@villaszontagh.com;"0910 505 559";Ubytovanie
"MARUNA FARMA, s.r.o.";info@penzionzbojnik.sk;"0917 626 323";Ubytovanie
"Brantal Ján";vachtarkuria@gmail.com;"0918 400 413";Ubytovanie
"RCS SK spol. s r.o.";maxim@maxim-penzion.sk;"046 5412 9730908 727 578 | 046 5412 973";Ubytovanie
"Mažgútová Katarína";info@penzionluka.sk;"0907 317 180";Ubytovanie
"Neumahr Tlačiareň, s.r.o.";info@putnickymlyn.sk;"02 6593 4386";Ubytovanie
"AGRO ART, spol. s r.o.";recepcia@penzionvinery.sk;;Ubytovanie
"A.K.R. Tour, s.r.o.";info@penzionbrest.sk;"043 4297 6000908 966 661 | 043 4297 600";Ubytovanie
"PANORÁMA, s.r.o.";info@penzionbojnice.sk;"046 5402 1410907 043 077 | 046 5402 141";Ubytovanie
"Elkotech, s.r.o.";babiahora@babiahora.sk;"0908 403 0400905 813 953 | 0908 403 040";Ubytovanie
"AQUA MARIA s.r.o.";aquamaria.velaty@gmail.com;"056 6700 5060948 027 212 | 056 6700 506";Ubytovanie
"Penzión Gitka - Jaroslava Vozárová";gitka@gitka.sk;"043 4222 1640918 403 450 | 043 4222 164";Ubytovanie
"EM - PA s.r.o.";recepcia@penzionsivec.sk;"0911 122 2990908 255 929 | 0911 122 299";Ubytovanie
"Penzión na Majeri - Zuzana Ožvaldová";info@penzionnamajeri-kaplna.sk;"0910 907 989";Ubytovanie
"Belong, s.r.o.";info@penzionnaty.sk;"0903 374 827";Ubytovanie
"Bohem Glass - Anikó Csergeová";info@penzionaniko.sk;"0905 380 267";Ubytovanie
"NETWORK.SK s.r.o.";chata.felicia@gmail.com;"0907 946 739";Ubytovanie
"Grajciar, s.r.o.";grajciar@grajciar.sk;"048 4191 2090903 560 888 | 048 4191 209";Ubytovanie
"Snežienka - Tatry, s.r.o.";recepcia@snezienka.sk;"0905 229 740 | 052 7723 393";Ubytovanie
"CHATA HOREC s. r. o.";chatahorec@centrum.sk;"0907 239 377";Ubytovanie
"HERKULES s.r.o.";info@zlaty-jelen.sk;"0918 510 686";Ubytovanie
"Vrábel Róbert";;"057 4880 116";Ubytovanie
"CENTER - Jozef Parditka";info@penzionjozefina.sk;"0905 795 940";Ubytovanie
"PENZIÓN NA KOPCI - Alena Dobrovičová";dobrovicova@nakopci.sk;"045 6922 325";Ubytovanie
"Penzion Mirabel - Jaroslav Hurtešák";penzionmirabel@gmail.com;"0907 122 458";Ubytovanie
"M + T Nemec s.r.o.";;"0918 477 527";Ubytovanie
"Sečkárová Daniela, RNDr.";ruzomberok@penzionandrej.sk;"0905 821 852";Ubytovanie
"MKM Orava, s.r.o.";penzion@severka.sk;"043 5524 590";Ubytovanie
"Pavčík Jozef";info@villakrejza.sk;"0905 119 947";Ubytovanie
"Fy Mach - Slavomíra Machová";info@penzion-mach.sk;"0905 331 935";Ubytovanie
"Rezident consult, s.r.o.";rezidentconsult@rezidentconsult.eu;"0948 026 649";Penziony-mestske
"V & G - Valéria Dobrotová";panda.penzion@nextra.sk;"043 4924 169";Penziony-mestske
"Pakši Arpád";rezervacie@penzion-daniela.eu;"0905 862 968";Penziony-mestske
"Penzión Angelika - Milan Janček";penzionangelika.jancek@gmail.com;"0902 553 579";Penziony-mestske
"Soler - Pavol Struhár";pension@soler.sk;"0911 353 004045 6744 335 | 0911 353 004";Penziony-mestske
"SABATO s.r.o.";sabato@sabato.sk;"052 7769 580";Penziony-mestske
"Bona - ex, s.r.o.";info@apali.sk;"035 7721 7210915 607 631 | 035 7721 721";Penziony-mestske
"RK gastro s. r. o.";recepcia@penzionflamm.sk;"0918 010 023";Penziony-mestske
"Orca - An s.r.o.";info@ubytovaniehviezda.sk;"0902 817 666";Penziony-mestske
"PABY, s.r.o.";penzionpaby@gmail.com;"033 5579 166";Penziony-mestske
"Reštaurácia Centrum - Elena Mitterová";restauracia-centrum@netspace.sk;"045 5497 407";Penziony-mestske
"Bývalí urbarialisti obce Krušetnica - pozemkové spoločenstvo";urbarkrusetnica@centrum.sk;"0905 852 695";Penziony-mestske
"Eichlerová Zuzana, Ing.";info@penzionhelena.sk;"044 5263 3060903 382 413 | 044 5263 306";Penziony-mestske
"MLYN A, s.r.o.";penzionmlyn211@gmail.com;"0903 419 103";Penziony-mestske
"Penzion - restaurant Oáza, s.r.o.";oaza@penzion-oaza.sk;"043 4134 837";Penziony-mestske
"Minipivovar TATRAS, s. r. o.";info@minipivovartatras.sk;"0948 828 727";Penziony-mestske
"Žák Vladimír";recepcia@penzionberyl.sk;"055 6998 5390918 891 821 | 055 6998 539";Penziony-mestske
"AHM Alfa, s.r.o.";info@penzionexclusive.sk;"0903 771 050";Penziony-mestske
"Dopos, s.r.o.";tofi@penziontofi.sk;"037 6516 703";Penziony-mestske
"Juričková Zdenka";vilalinda@vilalinda.sk;"0903 529 750";Penziony-mestske
"Penzión u Krba, s.r.o.";penzion@ukrba.sk;"0918 055 066";Penziony-mestske
"Basta Real, s.r.o.";recepcia@penzionfesi.sk;"0948 621 231032 6497 835 | 0948 621 231";Penziony-mestske
"POLONEC s.r.o.";penzionoaza@penzionoaza.sk;"0911 743 285 | 033 5501 218";Penziony-mestske
"Siporex, spol. s r.o.";reception@penzionberg.sk;"0902 222 223";Penziony-mestske
"Klasik 1, s.r.o.";sabbia@sabbia.sk;"0905 327 366046 5424 088 | 0905 327 366";Penziony-mestske
"Kúrenie Gavlák s.r.o.";gavlak@apartmanygavlak.sk;"0902 905 597";Chaty-chatove-osady
"Perkunas Services s.r.o.";info@woodpark.sk;"0908 863 842";Chaty-chatove-osady
"Chalúpky u babky s.r.o.";info@chalupky.sk;"0915 494 600";Chaty-chatove-osady
"Dejag - Ing. Peter Gomola";ubytovanie@cicmany.info;"0903 814 551";Chaty-chatove-osady
"Spolok bývalých urbarialistov Podhradie, pozemkové spoločenstvo";urbarpodhradie@gaya.sk;"0917 108 591";Chaty-chatove-osady
"FIA - B s.r.o.";chatahodrusa@chatahodrusa.sk;"0905 822 033";Chaty-chatove-osady
"Müller Pavel";info@chatakrpacovo.sk;"0915 811 118";Chaty-chatove-osady
"Belák Michal, Bc.";info@drevenicapodtlstou.sk;"0917 248 322";Chaty-chatove-osady
"ATEX Košice, s.r.o.";office@zlatapodkova.sk;"055 6740 488";Chaty-chatove-osady
"Kadura Pavel";kadurap@gmail.com;"0905 258 208";Chaty-chatove-osady
"MIKA - Katarína Kalousková";mika@mika.sk;"0918 566 4780908 904 519 | 0918 566 478";Chaty-chatove-osady
"KUPSI s.r.o.";info@navrsku.sk;"0910 529 909";Chaty-chatove-osady
"Dudová Alena";sduda@slovanet.sk;"0905 252 188";Chaty-chatove-osady
"Bungalovy Jasná, s. r. o.";jhurtaj@bungalovyjasna.sk;"0903 800 124";Chaty-chatove-osady
"Lesopartner, spol. s r.o.";info@chatapelc.sk;"0907 937 784";Chaty-chatove-osady
"ABBYT, s.r.o.";chatapatuch@gmail.com;"0904 802 192";Chaty-chatove-osady
"Kubík Ján";strba66@kwa.sk;"0905 264 960";Chaty-chatove-osady
"Beach Bar s.r.o.";info@beachbarrezort.sk;"0949 479 5970947 955 674 | 0949 479 597";Autokempy
"I.R.W., s.r.o.";info@campingparkkarpaty.sk;"0903 446 590";Autokempy
"A T C Nitrianske Rudno, s.r.o.";recepcia@campingrudno.sk;"0948 108 280";Autokempy
"Rusnák Ernest, Ing.";marketing@autocamplevoca.sk;"0904 079 923";Autokempy
"CAMP s.r.o.";info@campingsered.sk;"0903 934 506";Autokempy
"Opremčák Peter";autocamping40@gmail.com;"0902 445 241";Autokempy
"Yachtclub Dynamo Energia Bratislava";matejova.lea@gmail.com;"0907 887 224";Autokempy
"AUTOCAMPING TRENČÍN - VODÁCKY KLUB NA OSTROVE";campingtn@gmail.com;"0905 633 905 | 032 7434 013";Autokempy
"TATRA SPC5, s. r. o.";recepcia@maracamping.sk;"0905 828 444";Autokempy
"Intercamp, s.r.o.";kempi@netax.sk;"02 4445 0592";Autokempy
"Valacsay Tomáš";info@cilistov.sk;"0903 045 198";Autokempy
"Agentúra Rudava, s.r.o.";info@autokemprudava.sk;"0918 784 812";Autokempy
"Profistav-MM, s.r.o.";atcoravice@szm.com;"043 5394 1140910 785 878 | 043 5394 114";Autokempy
"VEĽKÝ DVOR s.r.o.";velkydvor@velkydvor.sk;"0905 212 105";Autokempy
"OP-TOUR - Jozef Hnojčík";oravskapriehrada@orava.sk;"0905 212 995";Autokempy
"SPORTHOTEL BARBORKA s.r.o.";info@sporthotelbarborka.cz;"+420 607 117 026";Ubytovanie-Ceska-republika
"Carlsbad Hotels Group s.r.o.";info@anglickydvur.com;"+420 351 170 100 | 09253335";Ubytovanie-Ceska-republika
"MALVA EVENT s.r.o.";ubytovani@residencemalva.cz;"+420 725 805 650";Ubytovanie-Ceska-republika
"Michael Dražan s.r.o.";info@sleepinprague.net;"+420 222 720 755 | +420 222 720 756";Ubytovanie-Ceska-republika
"Kukulka Petr, Ing.";kukulka@seznam.cz;"+420 777 120 988";Ubytovanie-Ceska-republika
"ZdenVit s.r.o.";recepce@sykovec.cz;"+420 608 778 787 | 05081262";Ubytovanie-Ceska-republika
"UNIOS CB, spol. s r.o.";recepce@zameckaapartma.cz;"+420 777 723 262";Ubytovanie-Ceska-republika
"Pavlicová Gabriela";penzion-beskyd@seznam.cz;"+420 732 358 991";Ubytovanie-Ceska-republika
"Vávrová Miloslava, Ing.";adam.group@seznam.cz;"+420 603 705 871 | +420 777 777 187";Ubytovanie-Ceska-republika
"Your Apartments, s.r.o.";info@yourapartments.com;"+420 773 914 566 | +420 724 578 559";Ubytovanie-Ceska-republika
"Bíca Miroslav";mita.bica@seznam.cz;"+420 602 188 353";Ubytovanie-Ceska-republika
"Kvant Praha, spol. s r.o.";info@lublanka.cz;"+420 222 510 041 | +420 222 515 371";Ubytovanie-Ceska-republika
"P.u.b. 06 s.r.o.";info@boudamalaupa.cz;"+420 739 673 383";Ubytovanie-Ceska-republika
"S-Property s.r.o.";info@rezidenceostrovni.cz;"+420 257 409 200 | +420 257 409 218 | +420 257 409 214";Ubytovanie-Ceska-republika
"H.S.S., s.r.o.";;"+420 602 821 451";Ubytovanie-Ceska-republika
"Hnátek Filip";info@luxury-apartment.cz;"+420 777 805 053";Ubytovanie-Ceska-republika
"TopResort, spol. s r.o.";blatov@kossuth.cz;"+420 602 705 315";Ubytovanie-Ceska-republika
"Vongrejová Kateřina";ubytovani-apartmany-lipno@seznam.cz;"+420 602 107 155";Ubytovanie-Ceska-republika
"H & Hotels s.r.o.";info@hhotels.cz;"+420 222 244 713 | +420 222 243 226";Ubytovanie-Ceska-republika
"Marek Jiří";marekkjirka@centrum.cz;"+420 607 201 270";Ubytovanie-Ceska-republika
"Urban Richard";info@richieapartmentsprague.eu;"+420 777 786 600";Ubytovanie-Ceska-republika
"LipnoApartments s.r.o.";info@lipnoapartments.com;"+420 607 683 430 | 05905338";Ubytovanie-Ceska-republika
"ZICHA s.r.o.";recepce@carlhotel.cz;"+420 704 003 113 | +420 604 747 382";Ubytovanie-Ceska-republika
"HOLATA s.r.o.";jan.holata@gmail.com;"+420 736 726 643";Ubytovanie-Ceska-republika
"Krumlov servis s.r.o.";info@galko-ck.cz;"+420 774 780 640 | +420 777 308 327 | +420 777 308 350 | +420 380 713 656";Ubytovanie-Ceska-republika
"Sternberg Jiří";sternberg@jemniste.cz;"+420 603 819 651";Ubytovanie-Ceska-republika
"Maštálková Lenka, Ing.";info@uslavska.cz;"+420 608 961 801";Ubytovanie-Ceska-republika
"Hošek Jiří, Ing.";hosekjir@seznam.cz;"+420 602 942 053";Ubytovanie-Ceska-republika
"Beranová Naděžda, Ing.";beran.jaromir@seznam.cz;;Ubytovanie-Ceska-republika
"FRIAMI s.r.o.";nadrybnikem@friami.cz;"+420 376 394 149 | +420 603 510 370";Ubytovanie-Ceska-republika
"Otradovec Zdeněk";zdenek.otradovec@seznam.cz;"+420 724 443 784";Ubytovanie-Ceska-republika
"PROCYON MANUFACTURE s.r.o.";rezervace@vezlebe.cz;"+420 774 046 399";Ubytovanie-Ceska-republika
"Šafránek Radek, DiS.";lucie.safrankova@primachalupa.cz;"+420 604 118 870";Ubytovanie-Ceska-republika
"Švec Petr, Ing.";svec.jaroslav@centrum.cz;"+420 604 585 480";Ubytovanie-Ceska-republika
"Černý Jan";info@kosky.cz;"+420 605 203 980";Ubytovanie-Ceska-republika
"Valena Roman";ubytovani-vranov@seznam.cz;"+420 602 486 100";Ubytovanie-Ceska-republika
"Davidová Dana";info@ubytovani-karlovice.cz;"+420 606 431 967";Ubytovanie-Ceska-republika
"Svoboda Tomáš, Mgr.";yachtsport@seznam.cz;"+420 605 248 359";Ubytovanie-Ceska-republika
"Přikrylová Ivana";chalupalevandule@email.cz;"+420 605 870 700";Ubytovanie-Ceska-republika
"Kraml Pavel, Ing.";ubytovani@ukramlu.cz;"+420 728 024 635";Ubytovanie-Ceska-republika
"Svoboda - Svobodová s.r.o.";chata.mikulcinvrch@gmail.com;"+420 602 112 262 | +420 572 646 946 | 05841844";Ubytovanie-Ceska-republika
"Krunert Tomáš";tomas.krunert@seznam.cz;"+420 724 781 130";Ubytovanie-Ceska-republika
"Film Makers, s.r.o.";vlkov@vlkov.tv;"+420 603 226 401";Ubytovanie-Ceska-republika
"Hanáčková Pavlína, Ing.";pavlahanackova@seznam.cz;"+420 606 423 787";Ubytovanie-Ceska-republika
"SIMEX LIMIT s.r.o.";info@horskachatacepin.cz;"+420 417 878 007";Ubytovanie-Ceska-republika
"Fojtášek Ivan";kemphb@seznam.cz;"+420 776 719 649";Ubytovanie-Ceska-republika
"Nadační fond Zámecká fara Vidžín";vidzin@volny.cz;"+420 602 625 691";Ubytovanie-Ceska-republika
"Chata Hrozenka s.r.o.";chatahrozenka@seznam.cz;"+420 605 568 668 | 02786362";Ubytovanie-Ceska-republika
"Relax Slapy, s.r.o.";info@relaxslapy.cz;"+420 733 556 595";Ubytovanie-Ceska-republika
"Skopal Rostislav";chata@chatasumava.cz;"+420 602 128 520 | +420 379 734 238";Ubytovanie-Ceska-republika
"Slunečko Jan, Ing.";jan@slunecko.net;"+420 777 914 916";Ubytovanie-Ceska-republika
"Roubenka Štěpánka s.r.o.";info@roubenkastepanka.cz;07947356;Ubytovanie-Ceska-republika
"SYNOT GASTRO SLOVAKIA, s.r.o.";recepce@resortkycerka.cz;"+420 739 604 179 | +420 724 604 406 | 05627265";Ubytovanie-Ceska-republika
"Academic Congress Hotel s.r.o.";info@academic.cz;"+420 242 448 111 | 07566557";Ubytovanie-Ceska-republika
"AMPHONE, spol. s r.o.";reception@amphone.cz;"+420 545 428 310";Ubytovanie-Ceska-republika
"Zlatý anděl s.r.o.";info@hotelzlatyandel.cz;"+420 380 712 310 - 315 | +420 739 046 211";Ubytovanie-Ceska-republika
"Hotel Extol Inn Praha s.r.o.";info@extolinn.cz;"+420 220 876 541";Ubytovanie-Ceska-republika
"Zámek Loučeň a.s.";hotel-maxmilian@zamekloucen.cz;"+420 325 585 381";Ubytovanie-Ceska-republika
"CPI Hotels, a.s.";info@cpihotels.com;"+420 234 712 444 | +420 221 776 300 | +420 234 712 460 | +420 221 776 310";Ubytovanie-Ceska-republika
"Mrázek Pavel";info@hotelgreenhouse.cz;"+420 608 721 166";Ubytovanie-Ceska-republika
"Parkhotel Terezín, s.r.o.";info@hotelterezin.cz;"+420 416 782 260";Ubytovanie-Ceska-republika
"Bouda Kladenka s.r.o.";info@kladenka.cz;"+420 499 736 120";Ubytovanie-Ceska-republika
"Spa Resort St. Moritz, s.r.o.";info@saint-moritz.cz;"+420 354 602 410 | +420 354 622 208";Ubytovanie-Ceska-republika
"Hucon, spol. s r.o.";info@vitekhotel.cz;"+420 380 711 925";Ubytovanie-Ceska-republika
"J.P. Sport, s.r.o.";info@hotelsport-steti.cz;"+420 416 812 303 | +420 416 811 522";Ubytovanie-Ceska-republika
"Broumovská Hotelová s.r.o.";hotel-praha@hotel-praha.cz;08164941;Ubytovanie-Ceska-republika
"Culinaria Art s.r.o.";hotel@hotelkotera.cz;"+420 722 947 818";Ubytovanie-Ceska-republika
"Švábek Jaroslav";info@usvabku.cz;"+420 603 493 854";Ubytovanie-Ceska-republika
"Redvale a.s.";info@aquapalacehotel.cz;"+420 225 108 888 | +420 225 108 999";Ubytovanie-Ceska-republika
"Top Hotels Group a.s.";sekretariat@tophotel.cz;"+420 267 284 218";Ubytovanie-Ceska-republika
"CVD s.r.o.";info@hoteldvorna.cz;"+420 355 311 311";Ubytovanie-Ceska-republika
"AXXOS HOTELS & RESORTS, s.r.o.";reservation2@axxoshotels.com;;Ubytovanie-Ceska-republika
"Royal Court s.r.o.";front.desk@royalcourthotel.cz;"+420 776 810 855 | 03621553";Ubytovanie-Ceska-republika
"Allvet spol. s r.o.";recepce@hotelallvet.cz;"+420 517 330 553 | +420 725 074 388";Ubytovanie-Ceska-republika
"EuroAgentur Hotels & Travel a.s.";sen@eahotels.cz;"+420 323 655 693";Ubytovanie-Ceska-republika
"Syrmax s.r.o.";info@hotelromaprague.com;"+420 222 500 120 | +420 257 219 106";Ubytovanie-Ceska-republika
"THERMAL-F, a.s.";sales@thermal.cz;"+420 359 001 111 | +420 35 9002 603";Ubytovanie-Ceska-republika
"Remy Gastro s.r.o.";hotel@bedriska.cz;"+420 499 433 103 | +420 499 433 108";Ubytovanie-Ceska-republika
"NP48, s.r.o.";info@urbancreme.com;"+420 226 250 900 | 07898223";Ubytovanie-Ceska-republika
"Recovery Clinic a.s.";info@hotelmarttel.cz;"+420 602 495 497 | 09796223";Ubytovanie-Ceska-republika
"TŘEBOVSKÁ s.r.o.";trebovska@trebovska.cz;"+420 461 311 693 | +420 725 538 611 | 09334785";Ubytovanie-Ceska-republika
"Havlík Pavel";recepce@hotellion.cz;"+420 602 663 843";Ubytovanie-Ceska-republika
"Caha Pavel";kempvemyslice@seznam.cz;"+420 724 690 924";Ubytovanie-Ceska-republika
"Kolacia František";nivnicka-riviera@seznam.cz;"+420 722 145 322";Ubytovanie-Ceska-republika
"Eurocamping Bojkovice, s.r.o.";info@eurocamping.cz;"+420 572 641 717";Ubytovanie-Ceska-republika
"Paulus Roman";kempstebnice@email.cz;"+420 604 921 495 | +420 737 938 626";Ubytovanie-Ceska-republika
"Free Star, spol. s r.o.";autocamp@freestar.cz;"+420 608 830 887 | +420 519 415 702";Ubytovanie-Ceska-republika
"C a m p Bítov spol. s r.o.";info@camp-bitov.cz;"+420 605 842 965";Ubytovanie-Ceska-republika
"Regata Máchovo jezero, a.s.";info@regatamachovojezero.cz;"+420 487 872 055";Ubytovanie-Ceska-republika
"Camp Pálava s.r.o.";info@novemlyny.cz;"+420 519 351 722";Ubytovanie-Ceska-republika
"Mesto Seč";kemp@autokempsec.cz;"+420 469 676 286 | 00270881";Ubytovanie-Ceska-republika
"Novosád Luboš";lubosnovosad@seznam.cz;"+420 604 489 243";Ubytovanie-Ceska-republika
"Zavadilová Kateřina, PhDr.";cata@volny.cz;"+420 775 233 201";Ubytovanie-Ceska-republika
"Světlíková Kateřina";autokempsvetlikova@email.cz;"+420 776 669 335";Ubytovanie-Ceska-republika
"Hořejšová Kateřina";info@pensionrozcesti.cz;"+420 737 385 616";Ubytovanie-Ceska-republika
"Smutná Lenka Ing.";zamekliboun@seznam.cz;"+420 601 500 469";Ubytovanie-Ceska-republika
"Olivová Lenka, Ing.";info@cerny-jezdec.cz;"+420 728 633 864";Ubytovanie-Ceska-republika
"Polenová Dana";trebonpenzion@seznam.cz;"+420 607 508 400";Ubytovanie-Ceska-republika
"HP GASTRO, s.r.o.";recepce@koliba-zlin.cz;"+420 577 436 908 | +420 577 211 813 | +420 577 436 035";Ubytovanie-Ceska-republika
"Na Bazalce, s.r.o.";;"+420 311 671 848";Ubytovanie-Ceska-republika
"Mike.M Property s.r.o.";info@resort-d9.cz;"+420 725 958 140";Ubytovanie-Ceska-republika
"Svoboda Pavel, Mgr.";info@pensionkarst.cz;"+420 604 936 757 | +420 516 411 282";Ubytovanie-Ceska-republika
"Mencl Luděk";info@pension-mencl.cz;"+420 602 877 817";Ubytovanie-Ceska-republika
"Ráj Vranov spol. s r.o.";info@penzion-m.cz;"+420 731 466 739";Ubytovanie-Ceska-republika
"Trivoli, s.r.o.";info@utrivolu.cz;"+420 725 378 809";Ubytovanie-Ceska-republika
"Manager CS s.r.o.";jelen@vranov.com;"+420 724 774 774";Ubytovanie-Ceska-republika
"Penzion v polích, s.r.o.";info@penzionvpolich.cz;"+420 733 680 728";Ubytovanie-Ceska-republika
"PENZION LÚKA, s.r.o.";penzionluka@penzion-luka.cz;"+420 739 851 122 | 05552435";Ubytovanie-Ceska-republika
"OMLUX REALITY s.r.o.";recepce@penzionlhotka.com;"+420 736 763 379";Ubytovanie-Ceska-republika
"Uhrová Květoslava";penzion@penzionsoutok.cz;"+420 602 595 850 | +420 725 331 956";Ubytovanie-Ceska-republika
"ELKAT, a.s.";kadlcuvmlyn@seznam.cz;"+420 544 217 996";Ubytovanie-Ceska-republika
"Mazáková Martina";penzionhacienda@seznam.cz;"+420 723 790 564";Ubytovanie-Ceska-republika
"František Zachula, s.r.o.";pastis22@volny.cz;"+420 412 554 037 | +420 412 517 281";Ubytovanie-Ceska-republika
"RTS, spol. s r.o.";relax@vranovnaddyji.cz;"+420 607 758 045";Ubytovanie-Ceska-republika
"Šperl, spol. s r.o.";info@holidaypark.cz;"+420 376 382 916";Ubytovanie-Ceska-republika
"Schőnberger Monika";penzion.duo@volny.cz;"+420 728 226 677";Ubytovanie-Ceska-republika
"EU Hotels s.r.o.";reception@penzionfan.cz;"+420 353 997 085 | +420 353 997 087";Ubytovanie-Ceska-republika
"Kaple s.r.o.";kaple@kaple.cz;"+420 566 623 552";Ubytovanie-Ceska-republika
"Lorenc Tomáš";info@bohemia-privat.cz;"+420 603 181 830";Ubytovanie-Ceska-republika
"Hradil Zdeněk";tranzit124@seznam.cz;"+420 605 154 491";Ubytovanie-Ceska-republika
"Krebsová Blanka, Ing.";info@ubytovani-podebrady.com;"+420 606 214 542";Ubytovanie-Ceska-republika
"NOVE 99 s.r.o.";info@beee.cz;"+420 778 099 922 | 06333737";Ubytovanie-Ceska-republika
"Princ Milan";princ.milan@quick.cz;"+420 722 795 493";Ubytovanie-Ceska-republika
"Chaloupka Sněžník s.r.o.";info@chaloupka-sneznik.cz;"+420 602 610 610";Ubytovanie-Ceska-republika
"PMP REAL s.r.o.";info@jedovnicke-namesticko.cz;07197853;Ubytovanie-Ceska-republika
"Svoboda Tomáš";tomas.svoboda@volny.cz;"+420 603 256 926";Ubytovanie-Ceska-republika
"Musilová Šárka";ubyt-olomucany@seznam.cz;"+420 606 713 420";Ubytovanie-Ceska-republika
"Fejfarová Věra";ubytovani.np@seznam.cz;"+420 606 585 271 | 02139006";Ubytovanie-Ceska-republika
"Pleva Vlastimil, Ing.";p.vlastimil@seznam.cz;"+420 723 609 445";Ubytovanie-Ceska-republika
"Korábová Štěpánka";stepanka-korabova@seznam.cz;"+420 773 750 935";Ubytovanie-Ceska-republika
"Rousová Ivana";ivana.ro@centrum.cz;"+420 728 027 276";Ubytovanie-Ceska-republika
"Tvrzická Lucie";;"+420 281 923 008 | +420 737 751 962";Ubytovanie-Ceska-republika
"Mateiciucová Inna";info@penzion-grohova.cz;"+420 605 531 064";Ubytovanie-Ceska-republika
